oid,extid,DOI,Title,Publication_Name,Publication_Type,Language,citation,URL,imageurl,md5,Publication_Date,pmid,Open_Access_Status,CID,SID
478107,HXKKHQJGJAFBHI-UHFFFAOYSA-N,,With Phosphorous Triamides,Science of Synthesis,book chapter,En,"Pajkert, R.; R&#x00F6;schenthaler, G.-V., Science of Synthesis Knowledge Updates, (2022) 1, 369.",https://science-of-synthesis.thieme.com/app/text/?id=SD-142-00238,,6C2AB4D8A1793E3E3441BBE5B77333F6,2022,,0,4,516647966
478095,HXKKHQJGJAFBHI-UHFFFAOYSA-N,,Remimazolam,Pharmaceutical Substances,book chapter,En,"Kleemann, A.; Engel, J.; Kutscher, B.; Reichert, D., Pharmaceutical Substances [Online], Thieme: Stuttgart, (2021)",https://pharmaceutical-substances.thieme.com/ps/search-results?docUri=KD-18-0079,,A6712B73BF96E70BF106E9234A3BA2F5,2021,,0,4,516647966
478102,HXKKHQJGJAFBHI-UHFFFAOYSA-N,,Reaction with Carbon Monoxide,Science of Synthesis,book chapter,En,"Podlech, J., Science of Synthesis Knowledge Updates, (2018) 4, 151.",https://science-of-synthesis.thieme.com/app/text/?id=SD-118-00714,,D5D0BD921493B9777C04CB4DAB293B76,2018,,0,4,516647966
478094,HXKKHQJGJAFBHI-UHFFFAOYSA-N,,Introduction of C-Nitrogen by Amination of an Azaindole N-Oxide,Science of Synthesis,book chapter,En,"M&#x00E9;rour, J.-Y.; Joseph, B., Science of Synthesis Knowledge Updates, (2016) 3, 222.",https://science-of-synthesis.thieme.com/app/text/?id=SD-110-00857,,9AE77B8FD6C3BD8E82AFF68B1C61D679,2016,,0,4,516647966
478099,HXKKHQJGJAFBHI-UHFFFAOYSA-N,10.1055/s-0035-1560173,Highly Efficient Mechanochemical N-Arylation of Amino Alcohols and Diamines with Cu0 Powder,Synlett,journal article,En,"Martina, Katia; Rinaldi, Laura; Baricco, Francesca; Boffa, Luisa; Cravotto, Giancarlo, Synlett 2015, 26, 2789-2794",https://doi.org/10.1055/s-0035-1560173,,4E6F6F891BD4309692B8933D267702F5,2015,,0,4,516647966
478103,HXKKHQJGJAFBHI-UHFFFAOYSA-N,,Amino Alcohol Transformation,Science of Synthesis,book chapter,En,"Rodr&#x00ED;guez-Mata, M.; Gotor-Fern&#x00E1;ndez, V., Science of Synthesis: Biocatalysis in Organic Synthesis, (2015) 1, 206.",https://science-of-synthesis.thieme.com/app/text/?id=SD-214-00149,,9B39CF3B03E759FD1907E3536F124A0B,2015,,0,4,516647966
478106,HXKKHQJGJAFBHI-UHFFFAOYSA-N,10.1055/s-0034-1380221,Hexahydro-1H-Isoindolinone-Like Scaffolds from Electronically Deactivated and Sterically Hindered Dienes: Synthesis in the Context­ of Muironolide A,Synthesis,journal article,En,"Olson, Christopher A.; Shaner, Courtnay E.; Roche, Sydney C.; Ferrence, Gregory M.; Mitchell, T. Andrew, Synthesis 2015, 47, 2756-2766",https://doi.org/10.1055/s-0034-1380221,,C6E8809CE62FA59F97345156678B615A,2015,,0,4,516647966
478100,HXKKHQJGJAFBHI-UHFFFAOYSA-N,,Chemoselectivity toward Amino Alcohols,Science of Synthesis,book chapter,En,"Schmidberger, J. W.; Hepworth, L. J.; Green, A. P.; Flitsch, S. L., Science of Synthesis: Biocatalysis in Organic Synthesis, (2015) 1, 335.",https://science-of-synthesis.thieme.com/app/text/?id=SD-214-00253,,F4FEAE4BFC94AB14EA68F291D7AFD2CE,2015,,0,4,516647966
478110,HXKKHQJGJAFBHI-UHFFFAOYSA-N,10.1055/s-0031-1290621,Imine Domino Reactions Generate Novel Scaffolds: Fused Bisthiazolidines or Bisthiiranes,Synlett,journal article,En,"Saiz, Cecilia; Castillo, Valerie; Mahler, S. Graciela, Synlett 2012, 1090-1094",https://doi.org/10.1055/s-0031-1290621,,DF97BA27AE276F04F78721EC83640299,2012,,0,4,516647966
478108,HXKKHQJGJAFBHI-UHFFFAOYSA-N,,Reaction with N-Nucleophiles,Science of Synthesis,book chapter,En,"Tymoshenko, D. O., Science of Synthesis Knowledge Updates, (2012) 3, 407.",https://science-of-synthesis.thieme.com/app/text/?id=SD-116-00875,,FBD2935E20324EF717DE5486D0BD72DF,2012,,0,4,516647966
478104,HXKKHQJGJAFBHI-UHFFFAOYSA-N,10.1055/s-0030-1257913,An Improved and Mild Wenker Synthesis of Aziridines,Synthesis,journal article,En,"Li, Xinyao; Chen, Ning; Xu, Jiaxi, Synthesis 2010, 3423-3428",https://doi.org/10.1055/s-0030-1257913,,60265EC8A2A8F57707147F020B5A5037,2010,,0,4,516647966
478109,HXKKHQJGJAFBHI-UHFFFAOYSA-N,10.1055/s-0029-1217175,"One-Pot, Three-Component Copper-Catalysed ‘Click’ Triazole Synthesis Utilising the Inexpensive, Shelf-Stable Diazotransfer Reagent Imidazole-1-sulfonyl Azide Hydrochloride",Synlett,journal article,En,"Smith, Neal M.; Greaves, Michelle J.; Jewell, Robert; Perry, Matthew W. D.; Stocks, Michael J.; Stonehouse, Jeffrey P., Synlett 2009, 1391-1394",https://doi.org/10.1055/s-0029-1217175,,0FD05A10BEA1B0BA7AE60CC183DBB070,2009,,0,4,516647966
478097,HXKKHQJGJAFBHI-UHFFFAOYSA-N,10.1055/s-2007-1000853,The First Practical and Efficient One-Pot Synthesis of 6-Substituted 7-Azaindoles via a Reissert&endash;Henze Reaction,Synthesis,journal article,En,"Storz, Thomas; Bartberger, Michael D.; Sukits, Steven; Wilde, Chris; Soukup, Troy, Synthesis 2008, 201-214",https://doi.org/10.1055/s-2007-1000853,,17EBC94AB03AFED114A2A61105B59548,2008,,0,4,516647966
478105,HXKKHQJGJAFBHI-UHFFFAOYSA-N,10.1055/s-2007-1000861,Expeditious and Practical Synthesis of Various Substituted Taurines from Amino Alcohols,Synthesis,journal article,En,"Zhang, Wei; Wang, Boyuan; Chen, Ning; Du, Da-Ming; Xu, Jiaxi, Synthesis 2008, 197-200",https://doi.org/10.1055/s-2007-1000861,,82B400BAEE20885506F5B38C62AADF2D,2008,,0,4,516647966
478096,HXKKHQJGJAFBHI-UHFFFAOYSA-N,10.1055/s-2006-926358,A Modular System for the Preparation of Diazirine-Labeled Mannose Derivatives Using Thiourea Bridging,Synthesis,journal article,En,"Walter, Mark; Lindhorst, Thisbe K., Synthesis 2006, 952-958",https://doi.org/10.1055/s-2006-926358,,2B6257C4E9ED64A34CFB588E6E8F930F,2006,,0,4,516647966
478101,HXKKHQJGJAFBHI-UHFFFAOYSA-N,,Reaction with Carbon Monoxide,Science of Synthesis,book chapter,En,"Rossi, L., Science of Synthesis, (2005) 18, 565.",https://science-of-synthesis.thieme.com/app/text/?id=SD-018-00683,,CEF0A11B16537FCA80F1FCE78100FD5A,2005,,0,4,516647966
478098,HXKKHQJGJAFBHI-UHFFFAOYSA-N,,By Substitution of Hydroxy Groups,Science of Synthesis,book chapter,En,"Ishikawa, T., Science of Synthesis, (2004) 16, 1384.",https://science-of-synthesis.thieme.com/app/text/?id=SD-016-01805,,37F6905C2D0DFC63F29288F8B006EA65,2004,,0,4,516647966
